paso,equipo,sensor,valor,unidad,en_falla,estado_equipo
1,MOTOR-01,TEMP,69.94,°C,False,NORMAL
1,MOTOR-01,VIB,2.28,mm/s,False,NORMAL
1,MOTOR-01,CORR,11.54,A,False,NORMAL
2,MOTOR-01,TEMP,69.81,°C,False,NORMAL
2,MOTOR-01,VIB,2.32,mm/s,False,NORMAL
2,MOTOR-01,CORR,12.47,A,False,NORMAL
3,MOTOR-01,TEMP,71.48,°C,False,NORMAL
3,MOTOR-01,VIB,2.15,mm/s,False,NORMAL
3,MOTOR-01,CORR,12.26,A,False,NORMAL
4,MOTOR-01,TEMP,71.23,°C,False,NORMAL
4,MOTOR-01,VIB,2.25,mm/s,False,NORMAL
4,MOTOR-01,CORR,12.75,A,False,NORMAL
5,MOTOR-01,TEMP,71.84,°C,False,NORMAL
5,MOTOR-01,VIB,2.29,mm/s,False,NORMAL
5,MOTOR-01,CORR,11.67,A,False,NORMAL
6,MOTOR-01,TEMP,71.07,°C,False,NORMAL
6,MOTOR-01,VIB,2.41,mm/s,False,NORMAL
6,MOTOR-01,CORR,12.47,A,False,NORMAL
7,MOTOR-01,TEMP,71.63,°C,False,NORMAL
7,MOTOR-01,VIB,2.65,mm/s,False,NORMAL
7,MOTOR-01,CORR,12.44,A,False,NORMAL
8,MOTOR-01,TEMP,72.45,°C,False,NORMAL
8,MOTOR-01,VIB,2.46,mm/s,False,NORMAL
8,MOTOR-01,CORR,11.68,A,False,NORMAL
9,MOTOR-01,TEMP,73.13,°C,False,NORMAL
9,MOTOR-01,VIB,2.4,mm/s,False,NORMAL
9,MOTOR-01,CORR,12.06,A,False,NORMAL
10,MOTOR-01,TEMP,72.68,°C,False,NORMAL
10,MOTOR-01,VIB,2.86,mm/s,False,NORMAL
10,MOTOR-01,CORR,11.97,A,False,NORMAL
11,MOTOR-01,TEMP,73.37,°C,False,NORMAL
11,MOTOR-01,VIB,2.72,mm/s,False,NORMAL
11,MOTOR-01,CORR,12.56,A,False,NORMAL
12,MOTOR-01,TEMP,74.92,°C,False,NORMAL
12,MOTOR-01,VIB,2.68,mm/s,False,NORMAL
12,MOTOR-01,CORR,12.74,A,False,NORMAL
13,MOTOR-01,TEMP,75.89,°C,False,NORMAL
13,MOTOR-01,VIB,3.1,mm/s,False,NORMAL
13,MOTOR-01,CORR,12.05,A,False,NORMAL
14,MOTOR-01,TEMP,74.66,°C,False,NORMAL
14,MOTOR-01,VIB,2.84,mm/s,False,NORMAL
14,MOTOR-01,CORR,12.87,A,False,NORMAL
15,MOTOR-01,TEMP,74.96,°C,False,NORMAL
15,MOTOR-01,VIB,3.24,mm/s,False,NORMAL
15,MOTOR-01,CORR,12.61,A,False,NORMAL
16,MOTOR-01,TEMP,76.2,°C,False,NORMAL
16,MOTOR-01,VIB,3.16,mm/s,False,NORMAL
16,MOTOR-01,CORR,12.8,A,False,NORMAL
17,MOTOR-01,TEMP,76.29,°C,False,NORMAL
17,MOTOR-01,VIB,3.1,mm/s,False,NORMAL
17,MOTOR-01,CORR,12.75,A,False,NORMAL
18,MOTOR-01,TEMP,76.56,°C,False,NORMAL
18,MOTOR-01,VIB,3.55,mm/s,False,NORMAL
18,MOTOR-01,CORR,13.27,A,False,NORMAL
19,MOTOR-01,TEMP,75.6,°C,False,NORMAL
19,MOTOR-01,VIB,3.18,mm/s,False,NORMAL
19,MOTOR-01,CORR,13.16,A,False,NORMAL
20,MOTOR-01,TEMP,79.03,°C,False,NORMAL
20,MOTOR-01,VIB,3.5,mm/s,False,NORMAL
20,MOTOR-01,CORR,12.87,A,False,NORMAL
21,MOTOR-01,TEMP,76.54,°C,False,NORMAL
21,MOTOR-01,VIB,3.55,mm/s,False,NORMAL
21,MOTOR-01,CORR,12.41,A,False,NORMAL
22,MOTOR-01,TEMP,77.9,°C,False,NORMAL
22,MOTOR-01,VIB,4.02,mm/s,False,NORMAL
22,MOTOR-01,CORR,12.66,A,False,NORMAL
23,MOTOR-01,TEMP,77.5,°C,False,NORMAL
23,MOTOR-01,VIB,3.67,mm/s,False,NORMAL
23,MOTOR-01,CORR,13.03,A,False,NORMAL
24,MOTOR-01,TEMP,79.52,°C,False,NORMAL
24,MOTOR-01,VIB,3.72,mm/s,False,NORMAL
24,MOTOR-01,CORR,13.11,A,False,NORMAL
25,MOTOR-01,TEMP,79.11,°C,False,NORMAL
25,MOTOR-01,VIB,3.8,mm/s,False,NORMAL
25,MOTOR-01,CORR,12.72,A,False,NORMAL
26,MOTOR-01,TEMP,80.7,°C,False,NORMAL
26,MOTOR-01,VIB,4.04,mm/s,False,NORMAL
26,MOTOR-01,CORR,13.0,A,False,NORMAL
27,MOTOR-01,TEMP,81.14,°C,False,ALERTA
27,MOTOR-01,VIB,4.05,mm/s,False,ALERTA
27,MOTOR-01,CORR,13.11,A,False,ALERTA
28,MOTOR-01,TEMP,80.74,°C,False,NORMAL
28,MOTOR-01,VIB,4.27,mm/s,False,NORMAL
28,MOTOR-01,CORR,13.66,A,False,NORMAL
29,MOTOR-01,TEMP,82.23,°C,False,ALERTA
29,MOTOR-01,VIB,4.34,mm/s,False,ALERTA
29,MOTOR-01,CORR,12.79,A,False,ALERTA
30,MOTOR-01,TEMP,81.04,°C,False,ALERTA
30,MOTOR-01,VIB,4.21,mm/s,False,ALERTA
30,MOTOR-01,CORR,13.34,A,False,ALERTA
31,MOTOR-01,TEMP,82.5,°C,False,ALERTA
31,MOTOR-01,VIB,4.42,mm/s,False,ALERTA
31,MOTOR-01,CORR,13.56,A,False,ALERTA
32,MOTOR-01,TEMP,82.13,°C,False,ALERTA
32,MOTOR-01,VIB,4.6,mm/s,False,ALERTA
32,MOTOR-01,CORR,13.64,A,False,ALERTA
33,MOTOR-01,TEMP,83.62,°C,False,ALERTA
33,MOTOR-01,VIB,4.46,mm/s,False,ALERTA
33,MOTOR-01,CORR,13.3,A,False,ALERTA
34,MOTOR-01,TEMP,82.33,°C,False,ALERTA
34,MOTOR-01,VIB,4.72,mm/s,False,ALERTA
34,MOTOR-01,CORR,13.86,A,False,ALERTA
35,MOTOR-01,TEMP,84.07,°C,False,ALERTA
35,MOTOR-01,VIB,4.58,mm/s,False,ALERTA
